Country,Region,Development_level,Least_developed_country,Neonatal mortality rate (per 1000 live births),Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Under-five mortality rate (probability of dying by age 5 per 1000 live births),Column1,Column2,Measure 1 - Expanded Coverage of comprehensive prenatal care,Measure  2 - Expanded Coverage of obstetric care,Measure 3 - Expanded Coverage of Essential post-partum and Newborn care,Measure 4 - Expanded access to effective contraception,"Measure 5 - Expanded Access to safe abortion care, including Post-Abortion care",Measure 6 - Expanded Recruitment and Training of Skilled Birth Attendants
,,,,,,Both Genders,Male,Female,,,,,,
Afghanistan,Asia,Less dev. region,Yes,39.2,51.5,67.9,71.8,63.7,1,1,1,1,0,1
Albania,Europe,More dev. region,No,6.1,7.8,8.8,9.5,8.1,1,1,1,1,1,1
Algeria,Africa,Less dev. region,No,14.9,20.6,24,25.5,22.5,1,1,1,1,0,0
Andorra,Europe,More dev. region,No,1.4,3.2,3.3,3.6,3,0,0,0,0,0,0
Angola,Africa,Less dev. region,Yes,29.1,53.8,81.1,86.9,74.9,1,1,1,1,0,1
Antigua and Barbuda,Latin Amer. & Caribbean,Less dev. region,No,3.8,5.4,7.4,8.1,6.7,0,0,0,0,0,0
Argentina,Latin Amer. & Caribbean,Less dev. region,No,5.9,9.2,10.4,11.3,9.4,1,1,1,1,1,1
Armenia,Asia,Less dev. region,No,6.7,11.3,12.6,14,11.2,1,1,1,1,1,1
Australia,Oceania,More dev. region,No,2.1,3,3.5,3.8,3.2,0,0,0,0,0,0
Austria,Europe,More dev. region,No,2.2,2.9,3.6,3.9,3.2,1,1,1,0,0,1
Azerbaijan,Asia,Less dev. region,No,11.8,20.5,23,25.4,20.5,1,1,1,1,0,0
Bahamas,Latin Amer. & Caribbean,Less dev. region,No,4,5.8,7.2,7.7,6.7,1,1,1,1,0,0
Bahrain,Asia,Less dev. region,No,3.1,6.3,7.3,7.6,7.1,0,0,0,0,0,0
Bangladesh,Asia,Less dev. region,Yes,18.4,26.9,32.4,34.7,30,1,1,1,1,1,1
Barbados,Latin Amer. & Caribbean,Less dev. region,No,8.1,11.5,12.4,13.6,11.2,1,1,1,1,0,0
Belarus,Europe,More dev. region,No,1.5,2.8,3.7,4.2,3.3,1,1,1,1,1,1
Belgium,Europe,More dev. region,No,2.1,3.1,3.8,4.2,3.3,0,0,0,0,0,0
Belize,Latin Amer. & Caribbean,Less dev. region,No,8.8,12.2,14.2,15.6,12.8,1,1,1,1,0,0
Benin,Africa,Less dev. region,Yes,32.7,63.5,98.3,103.7,92.6,1,1,1,1,1,1
Bhutan,Asia,Less dev. region,Yes,16.9,25.6,30.8,33.6,27.9,1,1,1,1,0,1
Bolivia (Plurinational State of),Latin Amer. & Caribbean,Less dev. region,No,18.5,28,34.9,38.1,31.4,1,1,1,1,1,1
Bosnia and Herzegovina,Europe,More dev. region,No,4,4.9,5.7,6.2,5.2,0,0,0,0,0,0
Botswana,Africa,Less dev. region,No,25.4,30.8,37.6,40.9,34,1,1,1,1,1,1
Brazil,Latin Amer. & Caribbean,Less dev. region,No,8.5,13.2,14.8,16.5,13,1,1,1,1,1,1
Brunei Darussalam,Asia,Less dev. region,No,4.7,9,10.5,11.3,9.6,0,0,0,0,0,0
Bulgaria,Europe,More dev. region,No,3.7,6.3,7.5,8.2,6.7,1,1,1,1,1,0
Burkina Faso,Africa,Less dev. region,Yes,25.4,51.2,81.2,85.3,76.9,1,1,1,1,0,0
Burundi,Africa,Less dev. region,Yes,22.1,42.5,61.2,65.7,56.3,1,1,1,1,1,1
Cabo Verde,Africa,Less dev. region,No,10.4,15,17.4,19.1,15.7,1,1,1,1,1,1
Cambodia,Asia,Less dev. region,Yes,14.9,25.1,29.2,32.5,25.7,1,1,1,1,1,1
Cameroon,Africa,Less dev. region,No,25.5,55.1,84,89.5,78.3,1,1,1,1,0,1
Canada,Northern America,More dev. region,No,3.5,4.5,5.1,5.5,4.7,0,0,0,0,0,0
Central African Republic,Africa,Less dev. region,Yes,41.5,87.6,121.5,128,114.8,0,1,1,1,0,1
Chad,Africa,Less dev. region,Yes,34.8,73.4,123.2,129.9,116.1,1,1,1,1,0,1
Chile,Latin Amer. & Caribbean,Less dev. region,No,5,6.3,7.4,8,6.8,1,1,1,1,0,1
China,Asia,Less dev. region,No,4.7,8,9.3,9.9,8.7,1,1,1,1,0,1
Colombia,Latin Amer. & Caribbean,Less dev. region,No,8,12.7,14.7,16.4,13,1,1,1,1,1,0
Comoros,Africa,Less dev. region,Yes,31.7,52.2,69,74.3,63.4,1,1,1,1,0,1
Congo,Africa,Less dev. region,No,19.4,34.7,47.5,51.6,43.2,1,1,1,1,0,1
Cook Islands,Oceania,Less dev. region,No,3.9,6.5,7.6,8.3,6.9,0,0,0,0,0,0
Costa Rica,Latin Amer. & Caribbean,Less dev. region,No,5.9,7.8,9,9.8,8.1,1,1,1,1,0,0
Côte d'Ivoire,Africa,Less dev. region,No,33.5,64.2,88.8,96.8,80.3,1,1,1,1,1,1
Croatia,Europe,More dev. region,No,2.9,3.9,4.6,5,4.2,0,0,0,0,0,0
Cuba,Latin Amer. & Caribbean,Less dev. region,No,2.2,4.1,5.4,5.9,4.8,1,1,1,1,1,0
Cyprus,Asia,Less dev. region,No,1.6,2.1,2.7,2.9,2.5,0,0,0,0,0,0
Czechia,Europe,More dev. region,No,1.7,2.6,3.3,3.7,2.9,1,1,1,1,1,1
Democratic People's Republic of Korea,Asia,Less dev. region,No,10,14.4,19,21.3,17.2,1,1,1,1,0,1
Democratic Republic of the Congo,Africa,Less dev. region,Yes,28.9,70,91.1,97.9,84,1,1,1,1,0,1
Denmark,Europe,More dev. region,No,3.1,3.7,4.3,4.6,3.9,0,0,0,0,0,0
Djibouti,Africa,Less dev. region,Yes,32.4,51.5,61.7,66.7,56.3,1,1,1,1,1,1
Dominica,Latin Amer. & Caribbean,Less dev. region,No,27.3,31.5,34,36.6,31.3,0,0,0,0,0,0
Dominican Republic,Latin Amer. & Caribbean,Less dev. region,No,20.1,25,29.9,32.7,26.9,1,1,1,1,0,0
Ecuador,Latin Amer. & Caribbean,Less dev. region,No,7.5,12.5,14.5,16.1,12.8,1,1,1,1,1,1
Egypt,Africa,Less dev. region,No,11.6,18.8,22.1,23.4,20.7,1,1,1,1,1,1
El Salvador,Latin Amer. & Caribbean,Less dev. region,No,7.1,12.5,14.5,15.9,12.9,1,1,1,1,1,1
Equatorial Guinea,Africa,Less dev. region,Yes,30.9,65.3,89.6,95.7,83.2,1,1,1,1,0,0
Eritrea,Africa,Less dev. region,Yes,17.8,32.1,43.1,47.8,38.2,1,1,1,1,1,1
Estonia,Europe,More dev. region,No,1.2,2.1,2.7,3,2.5,0,0,0,0,0,0
